url num_files insertions deletions
https://github.com/monadius/dafny_examples/commit/87e40ad5a601b329f023672cd7442aaeaf30cc93 2 3 20
https://github.com/secure-foundations/ironsync-osdi2023/commit/51c2bbe78008e2c9c140f33da2a1b1cf8bde276a 1 8 5
https://github.com/cristirusu-99/Dafny-Practice/commit/339a06ff9be7f84904b8f04275b88a39747bc6fc 2 60 22
https://github.com/secure-foundations/ironsync-osdi2023/commit/1dcf08a06f6807f8b188ffe9c6e1232e2210aa5f 1 2 2
https://github.com/GLaDOS-Michigan/verification-class/commit/8f39273f37b6063d0a19a31e79ff99d537878166 1 4 11
https://github.com/secure-foundations/ironsync-osdi2023/commit/12e3f753f0dc904808e5f20c463559d7a8d32abb 2 13 0
https://github.com/TonyZhangND/paxos_proof/commit/5a2dbb03bed24d775c996c3eec09890df2dcada3 3 33 13
https://github.com/dafny-lang/Dafny-VMC/commit/fdc1128fd2a0528e1d7ea8780aa73a844d532b9e 1 10 13
https://github.com/secure-foundations/ironsync-osdi2023/commit/45e3cdffc74e1d2bda194d958788a323e08eb584 1 3 3
https://github.com/just-me-/dafny-language-server/commit/54db2c751ab76e8fef985bd161ba3d704d9fd774 1 2 2
https://github.com/Rayyan-Mehmood/Formal-Verification-Project/commit/0c2e5a6478d6ec2703e9c434dff8c54b2077c3ec 1 1 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/45e41d36122d922f5661edd4154cd86f68d21081 4 29 23
https://github.com/secure-foundations/ironsync-osdi2023/commit/0c5a81e496e6b40f6fc2b4acddb44537c167d304 3 14 5
https://github.com/guimath/BPTree-verif/commit/7906f1f61c312498269500245123ce676c4a05ba 1 9 11
https://github.com/namin/dafny-sandbox/commit/21e148e267228a52ef474c53194d2ab052471915 2 190 190
https://github.com/wenhuizhang/summer-school-2020/commit/5976dea6d2f96763a65eb50577942266ba9f5dca 2 24 16
https://github.com/secure-foundations/ironsync-osdi2023/commit/f78d2f7c76c2cc7d59c14990831f469e420a5bef 2 4 3
https://github.com/secure-foundations/ironsync-osdi2023/commit/2d8865cb423bf4155d5f4a27109b6bbde01950c2 3 42 110
https://github.com/just-me-/dafny-language-server/commit/7153d2c8b51fa41dbb198bb03800d89741c014b3 1 1 1
https://github.com/tegbesemirone/CS494-final-project/commit/bf90c322b379306a0033b9eedcb4ca393edb89c5 1 18 7
https://github.com/secure-foundations/ironsync-osdi2023/commit/3780ba7a50b75cbcc9957df6bb1c7205216cf04f 1 54 10
https://github.com/secure-foundations/ironsync-osdi2023/commit/fda33dc8fae2b1b69b5f40ad02c840f200139bff 1 12 12
https://github.com/secure-foundations/ironsync-osdi2023/commit/69937560a737bbbac3f5f58e69b13619089dfc93 3 44 25
https://github.com/secure-foundations/ironsync-osdi2023/commit/00510b60be840f8a5f0ea561748919b8c8c7d9fe 1 1 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/9fc589ae2a383a05ca5b547940e690e6d814fd83 1 2 0
https://github.com/secure-foundations/ironsync-osdi2023/commit/d85b9ba00c9bd6eec5c146cf4ce0f579905170b2 3 8 3
https://github.com/secure-foundations/ironsync-osdi2023/commit/93c88bd49dd502f024e57454c369ddc59281e22a 10 210 212
https://github.com/secure-foundations/ironsync-osdi2023/commit/abf4f334ae5545d0081883c6a5369808fcbc9094 1 9 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/5bbcf1867d8348a4940db0a1f16cd04add77b158 3 161 25
https://github.com/secure-foundations/ironsync-osdi2023/commit/51d6bf88b672c96d4ef55f18b9c9164145425420 2 28 20
https://github.com/secure-foundations/ironsync-osdi2023/commit/461b1788e086fd70a3c8e17d1f6a4609cabe66db 5 59 24
https://github.com/secure-foundations/ironsync-osdi2023/commit/22d6daa58cb42f6afb009610593a76518504dd93 3 150 88
https://github.com/secure-foundations/ironsync-osdi2023/commit/158cdcb81002267b455ddcba6776d894108f140e 1 1 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/5b6fd597f6b556578e3acfa24ccc1a2b669af170 2 7 7
https://github.com/secure-foundations/ironsync-osdi2023/commit/e922dd72b95409630a145c4fe85471058504ed38 1 1 1
https://github.com/dafny-lang/libraries/commit/20d90ec43db21d224bb5db0020cc68a2d441143c 1 24 27
https://github.com/jorge-jbs/TFG/commit/bdebbd19ae661220a3af5912e495ec9fba484a42 2 8 8
https://github.com/secure-foundations/ironsync-osdi2023/commit/b7010886c9f9a208e215e973499d3b05da569d0b 1 31 25
