commit_url,num_dfy_files,num_insertions,num_deletions
https://github.com/aws/aws-encryption-sdk/commit/7da8bdb7b9b8720713e2dc7f02242adcdb30de8c,3,11,2
https://github.com/aws/aws-encryption-sdk/commit/7e4f9f59dfc0edf88e08f7f61f247319ae076d23,1,22,7
https://github.com/aws/aws-encryption-sdk/commit/8080e8a5c88852cc4f2504f6f8743bcc3f83a390,11,154,239
https://github.com/aws/aws-encryption-sdk/commit/815adfc632490a185f463d1d00724dd6123781c3,1,18,10
https://github.com/aws/aws-encryption-sdk/commit/81d0750964defbfb1db87058b593e38617aa1c60,39,424,309
https://github.com/aws/aws-encryption-sdk/commit/83835e72e91ea267539c31c56a327d6c040c125b,5,561,29
https://github.com/aws/aws-encryption-sdk/commit/8729ec72547ecb5a7c5cd8f78bbfd3884a9cd845,9,305,262
https://github.com/aws/aws-encryption-sdk/commit/8abbbbe56a98041bd82175a404ec0bdccabd3e17,7,31,179
https://github.com/aws/aws-encryption-sdk/commit/8b7c6a3a9b40a1c41e4921bbe8ef0bf2c6d04a9d,2,23,28
https://github.com/aws/aws-encryption-sdk/commit/8cf9bf353e042a3b24b38a19a3c024103bb79112,12,517,64
https://github.com/aws/aws-encryption-sdk/commit/8e6bef083bd0c15a7b8c091d8dd536a7f3061088,5,116,106
https://github.com/aws/aws-encryption-sdk/commit/8f4074d0d1816c5a83fb250afe698932dee4880e,3,113,2
https://github.com/aws/aws-encryption-sdk/commit/92095532abbfc605fde2bb04093278b796c7274c,1,44,25
https://github.com/aws/aws-encryption-sdk/commit/926bbed781620dad71513dd8e96f4641694bf54e,5,5,6
https://github.com/aws/aws-encryption-sdk/commit/933e6cd233535a785404af72ad95cb449e075db1,1,51,56
https://github.com/aws/aws-encryption-sdk/commit/9381a96bf57b448e0708b3975705077da6655d60,5,172,217
https://github.com/aws/aws-encryption-sdk/commit/9496faa6f718748321e635f334b60e0585c5efb4,1,1,0
https://github.com/aws/aws-encryption-sdk/commit/9554fee761a601459277545b376db8ea8447532d,3,81,254
https://github.com/aws/aws-encryption-sdk/commit/95ab4521478c64c4c39077937fab5c7079d2e7d2,3,3,3
https://github.com/aws/aws-encryption-sdk/commit/96f7582c5ca8093572325dbdf011470fb4e97035,1,4,4
https://github.com/aws/aws-encryption-sdk/commit/975bd16d5b0f3538be17e2ae132a4dd84243567f,12,442,84
https://github.com/aws/aws-encryption-sdk/commit/9a824822fdfcb9c43dd9a4f43f9649a700a98be6,1,1,0
https://github.com/aws/aws-encryption-sdk/commit/9a91689f4ac48d494cf683884dd82e262acf8037,19,667,723
https://github.com/aws/aws-encryption-sdk/commit/9c1ba5da0e07a2b8262d906e91702256ba8173c1,4,172,10
https://github.com/aws/aws-encryption-sdk/commit/9f9276067bce64c41686f796704df217c40a7498,1,9,1
